model,task,ep,method,n,steps,span,demo,wrist,ref,exec,dup,paid
vanilla,RouteStick,1112,nov∪act∪tail_L13,512,25,0-184,0.595703125,0.486328125,2/2,3/3,0.734375,171/171/170
vanilla,RouteStick,1112,f0front∪act∪tail_L15,512,25,0-184,0.58984375,0.525390625,2/2,3/3,0.763671875,81/216/215
vanilla,RouteStick,1112,f0both∪act∪tail_L15,512,25,0-184,0.67578125,0.625,2/2,3/3,0.68359375,155/179/178
expd_framesamp,SwingXtimes,760,nov,512,41,0-376,0.0,0.662109375,0/0,6/6,0.736328125,
expd_framesamp,SwingXtimes,760,act_L13,512,51,24-384,0.0,0.337890625,0/0,6/6,0.87890625,
expd_framesamp,SwingXtimes,760,tail_L13,512,51,16-384,0.0,0.34375,0/0,6/6,0.8828125,
expd_framesamp,SwingXtimes,760,tail_L15,512,51,20-384,0.0,0.673828125,0/0,6/6,0.904296875,
expd_framesamp,SwingXtimes,760,act∪tail_L15,512,51,16-376,0.0,0.53515625,0/0,6/6,0.888671875,256/256
expd_framesamp,SwingXtimes,760,nov∪act (deployed),512,51,0-371,0.0,0.50390625,0/0,6/6,0.75390625,256/256
expd_framesamp,SwingXtimes,760,nov∪tail_L15,512,51,0-376,0.0,0.666015625,0/0,6/6,0.759765625,256/256
expd_framesamp,SwingXtimes,760,nov∪act∪tail_L15,512,51,0-368,0.0,0.560546875,0/0,6/6,0.7578125,171/171/170
expd_framesamp,SwingXtimes,760,nov∪act∪tail_L13,512,51,0-368,0.0,0.361328125,0/0,6/6,0.75390625,171/171/170
expd_framesamp,SwingXtimes,760,f0front∪act∪tail_L15,512,51,0-376,0.0,0.466796875,0/0,6/6,0.78515625,81/216/215
expd_framesamp,SwingXtimes,760,f0both∪act∪tail_L15,512,51,0-363,0.0,0.552734375,0/0,6/6,0.68359375,159/177/176
expd_framesamp,PatternLock,26,nov,512,14,0-120,0.515625,0.607421875,2/2,1/1,0.712890625,
expd_framesamp,PatternLock,26,act_L13,512,17,0-128,0.564453125,0.349609375,2/2,1/1,0.87890625,
expd_framesamp,PatternLock,26,tail_L13,512,17,0-128,0.5390625,0.42578125,2/2,1/1,0.873046875,
expd_framesamp,PatternLock,26,tail_L15,512,17,8-128,0.529296875,0.5,2/2,1/1,0.888671875,
expd_framesamp,PatternLock,26,act∪tail_L15,512,17,0-128,0.541015625,0.47265625,2/2,1/1,0.88671875,256/256
expd_framesamp,PatternLock,26,nov∪act (deployed),512,17,0-120,0.5703125,0.453125,2/2,1/1,0.76171875,256/256
expd_framesamp,PatternLock,26,nov∪tail_L15,512,17,0-120,0.56640625,0.486328125,2/2,1/1,0.755859375,256/256
expd_framesamp,PatternLock,26,nov∪act∪tail_L15,512,17,0-120,0.578125,0.478515625,2/2,1/1,0.765625,171/171/170
expd_framesamp,PatternLock,26,nov∪act∪tail_L13,512,17,0-120,0.572265625,0.443359375,2/2,1/1,0.76953125,171/171/170
expd_framesamp,PatternLock,26,f0front∪act∪tail_L15,512,17,0-120,0.591796875,0.41796875,2/2,1/1,0.783203125,80/216/216
expd_framesamp,PatternLock,26,f0both∪act∪tail_L15,512,17,0-120,0.6640625,0.517578125,2/2,1/1,0.68359375,153/180/179
expd_framesamp,ButtonUnmask,200,nov,512,34,0-264,0.0,0.783203125,2/2,7/7,0.7109375,
expd_framesamp,ButtonUnmask,200,act_L13,512,37,16-272,0.0,0.369140625,2/2,7/7,0.89453125,
expd_framesamp,ButtonUnmask,200,tail_L13,512,37,16-280,0.0,0.509765625,2/2,7/7,0.8984375,
expd_framesamp,ButtonUnmask,200,tail_L15,512,37,16-280,0.0,0.591796875,2/2,7/7,0.91015625,
expd_framesamp,ButtonUnmask,200,act∪tail_L15,512,37,8-272,0.0,0.501953125,2/2,7/7,0.904296875,256/256
expd_framesamp,ButtonUnmask,200,nov∪act (deployed),512,37,0-264,0.0,0.57421875,2/2,7/7,0.744140625,256/256
expd_framesamp,ButtonUnmask,200,nov∪tail_L15,512,37,0-272,0.0,0.60546875,2/2,7/7,0.744140625,256/256
expd_framesamp,ButtonUnmask,200,nov∪act∪tail_L15,512,37,0-264,0.0,0.53125,2/2,7/7,0.75,171/171/170
expd_framesamp,ButtonUnmask,200,nov∪act∪tail_L13,512,37,0-264,0.0,0.466796875,2/2,7/7,0.751953125,171/171/170
expd_framesamp,ButtonUnmask,200,f0front∪act∪tail_L15,512,37,0-267,0.0,0.43359375,2/2,7/7,0.7890625,80/216/216
expd_framesamp,ButtonUnmask,200,f0both∪act∪tail_L15,512,37,0-264,0.0,0.515625,2/2,7/7,0.68359375,157/178/177
expd_framesamp,VideoPlaceButton,300,nov,512,80,0-984,0.79296875,0.7578125,16/16,7/7,0.708984375,
expd_framesamp,VideoPlaceButton,300,act_L13,512,129,36-1008,0.6796875,0.439453125,16/16,7/7,0.8984375,
expd_framesamp,VideoPlaceButton,300,tail_L13,512,130,48-976,0.703125,0.25390625,16/16,7/7,0.927734375,
expd_framesamp,VideoPlaceButton,300,tail_L15,512,131,72-992,0.765625,0.544921875,16/16,7/7,0.92578125,
expd_framesamp,VideoPlaceButton,300,act∪tail_L15,512,130,52-1000,0.728515625,0.58984375,16/16,7/7,0.921875,256/256
expd_framesamp,VideoPlaceButton,300,nov∪act (deployed),512,125,0-1008,0.759765625,0.580078125,16/16,7/7,0.732421875,256/256
expd_framesamp,VideoPlaceButton,300,nov∪tail_L15,512,126,0-979,0.796875,0.66015625,16/16,7/7,0.748046875,256/256
expd_framesamp,VideoPlaceButton,300,nov∪act∪tail_L15,512,128,0-976,0.748046875,0.6015625,16/16,7/7,0.771484375,171/171/170
expd_framesamp,VideoPlaceButton,300,nov∪act∪tail_L13,512,125,0-968,0.73046875,0.423828125,16/16,7/7,0.7734375,171/171/170
expd_framesamp,VideoPlaceButton,300,f0front∪act∪tail_L15,512,130,0-987,0.75,0.529296875,16/16,7/7,0.806640625,81/216/215
expd_framesamp,VideoPlaceButton,300,f0both∪act∪tail_L15,512,127,0-960,0.7890625,0.60546875,16/16,7/7,0.68359375,160/176/176
expd_framesamp,RouteStick,1112,nov,512,25,0-184,0.572265625,0.75,2/2,3/3,0.716796875,
expd_framesamp,RouteStick,1112,act_L13,512,25,8-184,0.537109375,0.458984375,2/2,3/3,0.865234375,
expd_framesamp,RouteStick,1112,tail_L13,512,25,8-184,0.521484375,0.525390625,2/2,3/3,0.86328125,
expd_framesamp,RouteStick,1112,tail_L15,512,25,8-192,0.513671875,0.666015625,2/2,3/3,0.87890625,
expd_framesamp,RouteStick,1112,act∪tail_L15,512,25,8-184,0.521484375,0.63671875,2/2,3/3,0.869140625,256/256
expd_framesamp,RouteStick,1112,nov∪act (deployed),512,25,0-184,0.583984375,0.6171875,2/2,3/3,0.728515625,256/256
