model,task,ep,method,n,steps,span,demo_share,ref,exec,dup
expd_framesamp,SwingXtimes,757,split_diff+L13,505,51,0-384,0.0,0/0,6/6,0.7504950495049505
expd_framesamp,SwingXtimes,757,sum_diff+L13,512,51,48-392,0.0,0/0,6/6,0.84765625
expd_framesamp,SwingXtimes,760,td_diff,512,41,0-376,0.0,0/0,6/6,0.736328125
expd_framesamp,SwingXtimes,760,attn_L5,512,51,16-392,0.0,0/0,6/6,0.923828125
expd_framesamp,SwingXtimes,760,attn_L10,512,51,24-376,0.0,0/0,6/6,0.888671875
expd_framesamp,SwingXtimes,760,attn_L13,512,51,16-384,0.0,0/0,6/6,0.8984375
expd_framesamp,SwingXtimes,760,split_diff+L13,503,51,0-376,0.0,0/0,6/6,0.7534791252485089
expd_framesamp,SwingXtimes,760,sum_diff+L13,512,51,40-384,0.0,0/0,6/6,0.849609375
expd_framesamp,SwingXtimes,767,td_diff,512,51,0-536,0.0,0/0,6/6,0.705078125
expd_framesamp,SwingXtimes,767,attn_L5,512,72,24-552,0.0,0/0,6/6,0.931640625
expd_framesamp,SwingXtimes,767,attn_L10,512,72,24-531,0.0,0/0,6/6,0.8984375
expd_framesamp,SwingXtimes,767,attn_L13,512,72,24-523,0.0,0/0,6/6,0.904296875
expd_framesamp,SwingXtimes,767,split_diff+L13,507,71,0-512,0.0,0/0,6/6,0.7357001972386588
expd_framesamp,SwingXtimes,767,sum_diff+L13,512,66,40-519,0.0,0/0,6/6,0.82421875
expd_framesamp,PatternLock,26,td_diff,512,14,0-120,0.515625,2/2,1/1,0.712890625
expd_framesamp,PatternLock,26,attn_L5,512,17,0-128,0.52734375,2/2,1/1,0.91796875
expd_framesamp,PatternLock,26,attn_L10,512,17,0-128,0.53125,2/2,1/1,0.875
expd_framesamp,PatternLock,26,attn_L13,512,17,0-128,0.5703125,2/2,1/1,0.8984375
expd_framesamp,PatternLock,26,split_diff+L13,486,17,0-120,0.5843621399176955,2/2,1/1,0.757201646090535
expd_framesamp,PatternLock,26,sum_diff+L13,512,17,8-120,0.515625,2/2,1/1,0.857421875
expd_framesamp,PatternLock,30,td_diff,512,23,0-192,0.57421875,3/3,2/2,0.7109375
expd_framesamp,PatternLock,30,attn_L5,512,26,8-192,0.494140625,3/3,2/2,0.931640625
expd_framesamp,PatternLock,30,attn_L10,512,26,8-200,0.51171875,3/3,2/2,0.900390625
expd_framesamp,PatternLock,30,attn_L13,512,26,8-192,0.513671875,3/3,2/2,0.904296875
expd_framesamp,PatternLock,30,split_diff+L13,502,26,0-192,0.5776892430278885,3/3,2/2,0.7250996015936255
expd_framesamp,PatternLock,30,sum_diff+L13,512,26,16-192,0.5,3/3,2/2,0.83984375
expd_framesamp,ButtonUnmask,200,td_diff,512,34,0-264,0.0,2/2,7/7,0.7109375
expd_framesamp,ButtonUnmask,200,attn_L5,512,37,8-272,0.0,2/2,7/7,0.9296875
expd_framesamp,ButtonUnmask,200,attn_L10,512,37,16-272,0.0,2/2,7/7,0.91015625
expd_framesamp,ButtonUnmask,200,attn_L13,512,37,8-280,0.0,2/2,7/7,0.91015625
expd_framesamp,ButtonUnmask,200,split_diff+L13,498,37,0-272,0.0,2/2,7/7,0.7389558232931727
expd_framesamp,ButtonUnmask,200,sum_diff+L13,512,37,32-272,0.0,2/2,7/7,0.8515625
expd_framesamp,ButtonUnmask,201,td_diff,512,35,0-264,0.0,2/2,7/7,0.7265625
expd_framesamp,ButtonUnmask,201,attn_L5,512,37,16-272,0.0,2/2,7/7,0.916015625
expd_framesamp,ButtonUnmask,201,attn_L10,512,37,8-272,0.0,2/2,7/7,0.900390625
expd_framesamp,ButtonUnmask,201,attn_L13,512,37,16-280,0.0,2/2,7/7,0.896484375
expd_framesamp,ButtonUnmask,201,split_diff+L13,496,37,0-264,0.0,2/2,7/7,0.752016129032258
expd_framesamp,ButtonUnmask,201,sum_diff+L13,512,37,32-275,0.0,2/2,7/7,0.845703125
expd_framesamp,VideoPlaceButton,300,td_diff,512,80,0-984,0.79296875,16/16,7/7,0.708984375
expd_framesamp,VideoPlaceButton,300,attn_L5,512,131,48-992,0.708984375,16/16,7/7,0.95703125
expd_framesamp,VideoPlaceButton,300,attn_L10,512,131,56-992,0.716796875,16/16,7/7,0.93359375
expd_framesamp,VideoPlaceButton,300,attn_L13,512,131,32-1008,0.669921875,16/16,7/7,0.923828125
expd_framesamp,VideoPlaceButton,300,split_diff+L13,509,119,0-1008,0.75049115913556,16/16,7/7,0.7445972495088409
expd_framesamp,VideoPlaceButton,300,sum_diff+L13,512,99,80-1016,0.71875,16/16,7/7,0.8203125
expd_framesamp,RouteStick,1112,td_diff,512,25,0-184,0.572265625,2/2,3/3,0.716796875
expd_framesamp,RouteStick,1112,attn_L5,512,25,8-184,0.517578125,2/2,3/3,0.927734375
expd_framesamp,RouteStick,1112,attn_L10,512,25,8-184,0.53125,2/2,3/3,0.880859375
expd_framesamp,RouteStick,1112,attn_L13,512,25,8-192,0.544921875,2/2,3/3,0.880859375
expd_framesamp,RouteStick,1112,split_diff+L13,498,25,0-184,0.6104417670682731,2/2,3/3,0.7289156626506024
expd_framesamp,RouteStick,1112,sum_diff+L13,512,25,16-192,0.529296875,2/2,3/3,0.82421875
expd_framesamp,RouteStick,1149,td_diff,512,38,0-280,0.54296875,4/4,5/5,0.72265625
expd_framesamp,RouteStick,1149,attn_L5,512,38,16-280,0.501953125,4/4,5/5,0.951171875
expd_framesamp,RouteStick,1149,attn_L10,512,38,8-280,0.525390625,4/4,5/5,0.876953125
expd_framesamp,RouteStick,1149,attn_L13,512,38,16-280,0.49609375,4/4,5/5,0.884765625
expd_framesamp,RouteStick,1149,split_diff+L13,505,38,0-280,0.5445544554455446,4/4,5/5,0.7366336633663366
expd_framesamp,RouteStick,1149,sum_diff+L13,512,38,16-288,0.462890625,4/4,5/5,0.8359375
